"League","Year","blueTeamTag","redTeamTag","min_5","min_10","min_15","min_20","min_25","min_30","min_37"
"EULCS","2015","CW","EL","-208","1462","2294","1992","1473","1743","2537"
"EULCS","2015","CW","EL","-96","1095","-1416","-1447","-1268","-2039","-8752"
"EULCS","2015","CW","FNC","162","290","-3631","-7274","-9547","-15433",""
"EULCS","2015","CW","FNC","266","860","4959","4601","4718","4160","6390"
"EULCS","2015","CW","GIA","-41","215","1722","2705","2293","3670","1083"
"EULCS","2015","CW","GIA","52","-93","4","12","-1356","-2393","-3508"
"EULCS","2015","CW","GMB","-452","-608","-1955","-3349","-2500","-3365","-1242"
"EULCS","2015","CW","GMB","-252","-583","-120","-602","-973","-4649","-9426"
"EULCS","2015","CW","H2K","-703","-3307","-4808","-5533","-11950","",""
"EULCS","2015","CW","H2K","40","-741","-860","-3978","-4878","-5719","-2926"
"EULCS","2015","CW","H2K","376","1938","2647","3035","6698","5691","6866"
"EULCS","2015","CW","MYM","164","-262","1207","-826","-37","2739","4201"
"EULCS","2015","CW","OG","-257","-372","-1370","-2838","-3618","-8276",""
"EULCS","2015","CW","ROC","276","651","3320","4109","4808","2825","10318"
"EULCS","2015","CW","ROC","291","348","-48","2449","1872","2708","3887"
"EULCS","2015","CW","SK","-210","214","-3492","-5257","-5743","-10077","-18813"
"EULCS","2015","CW","SK","803","728","3436","4214","9452","9585",""
"EULCS","2015","CW","UOL","-2","217","1435","-498","-1570","-7071",""
"EULCS","2015","CW","UOL","41","-506","546","-1551","-6737","-7826","-12231"
"EULCS","2015","EL","CW","-814","-1796","-1621","-3486","-8199","",""
"EULCS","2015","EL","CW","251","532","729","2987","3073","4548","10202"
"EULCS","2015","EL","FNC","61","-447","-518","-339","-1075","-1406",""
"EULCS","2015","EL","FNC","192","-592","-911","-1137","-3689","-9010",""
"EULCS","2015","EL","GIA","-109","-781","-2202","-5194","-4866","-7922","-17178"
"EULCS","2015","EL","GIA","73","954","309","646","3756","5255","7255"
"EULCS","2015","EL","GMB","442","-203","-2149","-4765","-7631","",""
"EULCS","2015","EL","GMB","758","1338","654","566","1431","2422","1624"
"EULCS","2015","EL","H2K","51","-312","-206","-2297","1816","572","2502"
"EULCS","2015","EL","H2K","242","634","-1626","-2617","-1427","-1418","-4763"
"EULCS","2015","EL","MYM","-58","998","2566","1922","6442","7165",""
"EULCS","2015","EL","OG","-165","-342","-462","-2528","-4831","-6223",""
"EULCS","2015","EL","ROC","-51","-836","-1613","-2124","-711","12","3109"
"EULCS","2015","EL","ROC","2","1258","2101","3870","2149","5097","1965"
"EULCS","2015","EL","SK","-160","-200","-598","-1575","196","-438","-3339"
"EULCS","2015","EL","SK","-155","-905","-1407","-831","1389","-4756",""
"EULCS","2015","EL","UOL","10","-417","-862","594","-1572","",""
"EULCS","2015","EL","UOL","131","-355","508","1717","1929","1869","847"
"EULCS","2015","FNC","CW","-58","-829","-2060","-1793","-2006","1884","3222"
"EULCS","2015","FNC","CW","466","1379","3325","4329","4617","12846",""
